业	0x4e1a	py:yè,Cant:jip6,wb:ogd,zm:ku,sn:5,rd:业一,st:22431	en:profession, business; GB radical 111	
丛	0x4e1b	py:cóng,Cant:cung4,wb:wwgf,zm:odoa,sn:5,rd:一人,st:34341	en:bush, shrub; thicket; collection	
东	0x4e1c	py:dōng,Cant:dung1,wb:aii,zm:hdko,sn:5,rd:一,st:15234	en:east, eastern, eastward	
丝	0x4e1d	py:sī,Cant:si1,wb:xxgf,zm:zzza,sn:5,rd:一纟,st:55551	en:silk; fine thread; wire; strings	
丞	0x4e1e	py:chéng/shèng/zhēng/zhěng,Cant:sing4,JOn:shou jou,JKun:sukuu tasukeru,Hangul:승,KoRom:sung,Viet:thừa,wb:bigf,zm:xka,sn:6,rd:一乙,st:525341	en:assist, aid, rescue	
丟	0x4e1f	py:diū,Cant:diu1/diu6,JOn:chuu chu,JKun:saru nageutsu,Hangul:주,KoRom:cwu,wb:tfcu,zm:czs,sn:6,rd:一,st:112154	en:discard, reject, lose	
丠	0x4e20	py:qiū,JOn:kyuu,JKun:oka,KoRom:kwu,wb:uxgf,zm:tira,sn:6,rd:一,st:211351	en:hill; elder; empty; a name	
両	0x4e21	py:liǎng/liàng,Cant:loeng5,JOn:ryou,JKun:futatsu,KoRom:lyang,wb:gmmk,zm:alll,sn:6,rd:一,st:125252	en:two, both, pair, couple; a tael, ounce	
丢	0x4e22	py:diū,Cant:diu1/diu6,JOn:chuu chu,JKun:saru nageutsu,KoRom:cwu,Viet:điêu,wb:tfcu,zm:mbzs,sn:6,rd:一丿,st:312154	en:discard	
丣	0x4e23	py:yǒu,Cant:jau5,JOn:yuu,JKun:tori,KoRom:yu,wb:gjag,zm:anhx,sn:7,rd:一,st:1315251	en:ancient form of the tenth of the twelve Terrestrial Branches, U+9149 酉	
两	0x4e24	py:liǎng/liàng,Cant:loeng5,JOn:ryou,JKun:futatsu,KoRom:lyang,wb:gmww,zm:aloo,sn:7,rd:一,st:1253434	en:two, both, pair, couple; ounce	
严	0x4e25	py:yán,Cant:jim4,wb:godr,zm:akm,sn:7,rd:一,st:1224313	en:strict, rigorous, rigid; stern	
並	0x4e26	py:bìng/bàn/bàng,Cant:bing3/bing6/bong6,JOn:hei,JKun:nami naraberu narabini,Hangul:병,KoRom:pyeng,wb:uogd,zm:uaku,sn:8,rd:一八,st:43122431	en:equal to; side by side; also, what is more; both	
丧	0x4e27	py:sāng/sàng,Cant:song1/song3,wb:fueu,zm:eduh,sn:8,rd:一,st:12431534	en:mourning; mourn; funeral	
丨	0x4e28	py:gǔn,Cant:jat1/kwan2,JOn:kon shi jo nyo,JKun:susumu shirizoku,KoRom:kon,wb:hhll,zm:iaaa,sn:1,rd:丨,st:2	en:(same as U+3021 HANGZHOU NUMERAL ONE 〡) number one; line; KangXi radical 2	
丩	0x4e29	py:jiū,JOn:kyuu,JKun:matsuwaru,KoRom:kwu,wb:nhk,zm:zi,sn:2,rd:丨,st:52	en:to join or connect the vine	
个	0x4e2a	py:gè/gàn,Cant:go3,JOn:ka ko,JKun:ko hi,KoRom:kay ka,Viet:cá,wb:whj,zm:o/odi,sn:3,rd:丨人,st:342	en:numerary adjunct, piece; single	
丫	0x4e2b	py:yā,Cant:aa1,JOn:a,JKun:hutamata agemaki,Hangul:아,KoRom:a,Viet:a,wb:uhk,zm:udi,sn:3,rd:丨八,st:432	en:forked; bifurcation	
丬	0x4e2c	py:qiáng,wb:uygh,zm:ti,sn:3,rd:丨,st:412	en:half of tree trunk; rad. no. 90	
